"iso3c","type","num_additional_farms","estimated","avg_tonnes_per_farm"
"BRA","bivalve",27,0,283.413461873011
"GGY","bivalve",7,0,283.413461873011
"HRV","bivalve",266,0,283.413461873011
"PHL","bivalve",556,0,283.413461873011
"SVN","bivalve",20,0,283.413461873011
"ESP","bivalve",856,1,283.413461873011
"KHM","bivalve",30,1,283.413461873011
"MYS","bivalve",57,1,283.413461873011
"RUS","bivalve",29,1,283.413461873011
"TWN","bivalve",266,1,283.413461873011
"CHN","bivalve",51668,1,283.413461873011
"IDN","bivalve",211,1,283.413461873011
"JPN","bivalve",1036,1,283.413461873011
"MEX","bivalve",54,1,283.413461873011
"SWE","bivalve",5,1,283.413461873011
"THA","bivalve",341,1,283.413461873011
"VNM","bivalve",1005,1,283.413461873011
"IND","bivalve",250,1,283.413461873011
"PRK","bivalve",219,1,283.413461873011
"AUS","bivalve",68,0,283.413461873011
"DEU","bivalve",10,0,283.413461873011
"KOR","bivalve",5218,0,283.413461873011
"NLD","bivalve",76,0,283.413461873011
"NZL","bivalve",908,0,283.413461873011
"PER","bivalve",27,0,283.413461873011
"PRT","bivalve",29,0,283.413461873011
"USA","bivalve",761,0,283.413461873011
"ZAF","bivalve",23,0,283.413461873011
