"iso3c","type","num_additional_farms","estimated","avg_tonnes_per_farm"
"KOR","marine_fish_general",612,0,864.357480720755
"PRT","marine_fish_general",112,0,864.357480720755
"SGP","marine_fish_general",109,0,864.357480720755
"TUN","marine_fish_general",20,0,864.357480720755
"BGD","marine_fish_general",135,1,864.357480720755
"CHN","marine_fish_general",1643,1,864.357480720755
"IND","marine_fish_general",112,1,864.357480720755
"IRN","marine_fish_general",17,1,864.357480720755
"KHM","marine_fish_general",1,1,864.357480720755
"MUS","marine_fish_general",2,1,864.357480720755
"PHL","marine_fish_general",423,1,864.357480720755
"AUS","marine_fish_general",3,1,864.357480720755
"EGY","marine_fish_general",309,1,864.357480720755
"FRA","marine_fish_general",3,1,864.357480720755
"IDN","marine_fish_general",850,1,864.357480720755
"ISR","marine_fish_general",2,1,864.357480720755
"JPN","marine_fish_general",243,1,864.357480720755
"MYS","marine_fish_general",63,1,864.357480720755
"PAN","marine_fish_general",2,1,864.357480720755
"THA","marine_fish_general",25,1,864.357480720755
"TWN","marine_fish_general",20,1,864.357480720755
"USA","marine_fish_general",1,1,864.357480720755
"VNM","marine_fish_general",11,1,864.357480720755
"ALB","marine_fish_general",22,0,864.357480720755
"HRV","marine_fish_general",48,0,864.357480720755
"ITA","marine_fish_general",81,0,864.357480720755
"TUR","marine_fish_general",301,0,864.357480720755
