"iso3c","type","num_additional_farms","estimated","avg_tonnes_per_farm"
"BRA","bivalve",27,0,283.413461873011
"GGY","bivalve",7,0,283.413461873011
"HRV","bivalve",266,0,283.413461873011
"PHL","bivalve",556,0,283.413461873011
"SVN","bivalve",20,0,283.413461873011
"ESP","bivalve",856,1,283.413461873011
"KHM","bivalve",30,1,283.413461873011
"MYS","bivalve",57,1,283.413461873011
"RUS","bivalve",29,1,283.413461873011
"TWN","bivalve",266,1,283.413461873011
"CHN","bivalve",46931,1,283.413461873011
"IDN","bivalve",211,1,283.413461873011
"JPN","bivalve",1036,1,283.413461873011
"MEX","bivalve",54,1,283.413461873011
"SWE","bivalve",5,1,283.413461873011
"THA","bivalve",341,1,283.413461873011
"VNM","bivalve",1005,1,283.413461873011
"IND","bivalve",250,0,283.413461873011
"PRK","bivalve",219,1,283.413461873011
"AUS","bivalve",45,0,283.413461873011
"DEU","bivalve",10,0,283.413461873011
"KOR","bivalve",5218,0,283.413461873011
"NLD","bivalve",76,0,283.413461873011
"NZL","bivalve",908,0,283.413461873011
"PER","bivalve",27,0,283.413461873011
"PRT","bivalve",29,0,283.413461873011
"USA","bivalve",193,0,283.413461873011
"ZAF","bivalve",23,0,283.413461873011
"BGD","crustaceans",43,1,336.5783
"IDN","crustaceans",40,1,336.5783
"MMR","crustaceans",10,1,336.5783
"PHL","crustaceans",54,1,336.5783
"VNM","crustaceans",199,1,336.5783
"CHN","crustaceans",757,1,336.5783
"KOR","marine_fish_general",612,0,865.690487442497
"PRT","marine_fish_general",112,0,865.690487442497
"SGP","marine_fish_general",109,0,865.690487442497
"TUN","marine_fish_general",20,0,865.690487442497
"BGD","marine_fish_general",135,1,865.690487442497
"IND","marine_fish_general",111,1,865.690487442497
"IRN","marine_fish_general",17,1,865.690487442497
"KHM","marine_fish_general",1,1,865.690487442497
"MUS","marine_fish_general",2,1,865.690487442497
"PHL","marine_fish_general",422,1,865.690487442497
"AUS","marine_fish_general",3,1,865.690487442497
"CHN","marine_fish_general",1181,1,865.690487442497
"EGY","marine_fish_general",308,1,865.690487442497
"FRA","marine_fish_general",3,1,865.690487442497
"IDN","marine_fish_general",849,1,865.690487442497
"ISR","marine_fish_general",2,1,865.690487442497
"JPN","marine_fish_general",242,1,865.690487442497
"MYS","marine_fish_general",62,1,865.690487442497
"PAN","marine_fish_general",2,1,865.690487442497
"THA","marine_fish_general",25,1,865.690487442497
"TWN","marine_fish_general",20,1,865.690487442497
"USA","marine_fish_general",1,1,865.690487442497
"VNM","marine_fish_general",11,1,865.690487442497
"ALB","marine_fish_general",22,0,865.690487442497
"HRV","marine_fish_general",48,0,865.690487442497
"ITA","marine_fish_general",81,0,865.690487442497
"TUR","marine_fish_general",301,0,865.690487442497
"CRI","shrimp",90,0,336.578307850663
"LKA","shrimp",130,0,336.578307850663
"PHL","shrimp",271,0,336.578307850663
"SLV","shrimp",39,0,336.578307850663
"BRA","shrimp",179,1,336.578307850663
"JPN","shrimp",5,1,336.578307850663
"KHM","shrimp",3,1,336.578307850663
"KOR","shrimp",16,1,336.578307850663
"MMR","shrimp",165,1,336.578307850663
"TWN","shrimp",15,1,336.578307850663
"AUS","shrimp",11,1,336.578307850663
"BGD","shrimp",241,1,336.578307850663
"CHN","shrimp",3558,1,336.578307850663
"ECU","shrimp",1233,1,336.578307850663
"HND","shrimp",74,1,336.578307850663
"IDN","shrimp",2651,1,336.578307850663
"IND","shrimp",1807,1,336.578307850663
"MEX","shrimp",435,1,336.578307850663
"MYS","shrimp",126,1,336.578307850663
"NCL","shrimp",3,1,336.578307850663
"NIC","shrimp",72,1,336.578307850663
"PAN","shrimp",22,1,336.578307850663
"SAU","shrimp",115,1,336.578307850663
"THA","shrimp",1050,1,336.578307850663
"VEN","shrimp",62,1,336.578307850663
"VNM","shrimp",1932,1,336.578307850663
"COL","shrimp",19,0,336.578307850663
"CUB","shrimp",3,0,336.578307850663
"GTM","shrimp",19,0,336.578307850663
"IRN","shrimp",191,0,336.578307850663
"MDG","shrimp",4,0,336.578307850663
"PER","shrimp",71,0,336.578307850663
"JPN","tuna",92,0,277.415771221532
"HRV","tuna",14,0,277.415771221532
"TUR","tuna",5,0,277.415771221532
"TUR","salmon",21,0,866.402352288059
"RUS","salmon",16,1,866.402352288059
"ISL","salmon",8,1,866.402352288059
"JPN","salmon",15,1,866.402352288059
"NZL","salmon",22,0,866.402352288059
