country,species,fao_major_area,environment,year,value,iso3c,Taxon_code,family,notes,notes_2,aq_group
Argentina,Rainbow trout,"Atlantic, Southwest",Marine,2017,3,ARG,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Australia,Atlantic salmon,"Indian Ocean, Eastern",Marine,2017,52580.2,AUS,F,Salmonidae,NA,NA,salmonids
Canada,Atlantic salmon,"Atlantic, Northwest",Marine,2017,34945,CAN,F,Salmonidae,NA,NA,salmonids
Canada,Salmonids nei,"Atlantic, Northwest",Marine,2017,19287,CAN,F,Salmonidae,NA,NA,salmonids
Canada,Atlantic salmon,"Pacific, Northeast",Marine,2017,85608,CAN,F,Salmonidae,NA,NA,salmonids
Canada,Rainbow trout,"Pacific, Northeast",Marine,2017,1072,CAN,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Chile,Atlantic salmon,"Pacific, Southeast",Marine,2017,613610.9,CHL,F,Salmonidae,NA,NA,salmonids
Chile,Coho(=Silver) salmon,"Pacific, Southeast",Marine,2017,164045,CHL,F,Salmonidae,NA,NA,salmonids
Chile,Rainbow trout,"Pacific, Southeast",Marine,2017,74585.22,CHL,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Denmark,Coho(=Silver) salmon,"Atlantic, Northeast",Marine,2017,36,DNK,F,Salmonidae,NA,NA,salmonids
Denmark,Rainbow trout,"Atlantic, Northeast",Marine,2017,13036,DNK,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Faroe Islands,Atlantic salmon,"Atlantic, Northeast",Marine,2017,86800,FRO,F,Salmonidae,NA,NA,salmonids
Finland,European whitefish,"Atlantic, Northeast",Brackishwater,2017,534.2,FIN,F,Salmonidae,European whitefish use same aquaculture methods as salmon,NA,salmonids
Finland,Rainbow trout,"Atlantic, Northeast",Brackishwater,2017,11752.4,FIN,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Finland,Sea trout,"Atlantic, Northeast",Brackishwater,2017,80.6,FIN,F,Sciaenidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
France,Atlantic salmon,"Atlantic, Northeast",Marine,2017,300,FRA,F,Salmonidae,NA,NA,salmonids
Georgia,Rainbow trout,Mediterranean and Black Sea,Marine,2017,80,GEO,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Iceland,Arctic char,"Atlantic, Northeast",Brackishwater,2017,4454,ISL,F,Salmonidae,Uses same aquaculture methods as salmon,NA,salmonids
Iceland,Atlantic salmon,"Atlantic, Northeast",Brackishwater,2017,11265,ISL,F,Salmonidae,NA,NA,salmonids
Ireland,Atlantic salmon,"Atlantic, Northeast",Marine,2017,18342,IRL,F,Salmonidae,NA,NA,salmonids
Japan,Coho(=Silver) salmon,"Pacific, Northwest",Marine,2017,15648,JPN,F,Salmonidae,NA,NA,salmonids
"Korea, Dem. People's Rep",Atlantic salmon,"Pacific, Northwest",Marine,2017,50,PRK,F,Salmonidae,NA,NA,salmonids
"Korea, Republic of",Rainbow trout,"Pacific, Northwest",Marine,2017,81,KOR,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
New Zealand,Chinook(=Spring=King) salmon,"Pacific, Southwest",Marine,2017,13234,NZL,F,Salmonidae,NA,NA,salmonids
Norway,Arctic char,"Atlantic, Northeast",Marine,2017,341.2,NOR,F,Salmonidae,Uses same aquaculture methods as salmon,NA,salmonids
Norway,Atlantic salmon,"Atlantic, Northeast",Marine,2017,1236353,NOR,F,Salmonidae,NA,NA,salmonids
Norway,Rainbow trout,"Atlantic, Northeast",Marine,2017,66902.33,NOR,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Russian Federation,Atlantic salmon,"Atlantic, Northeast",Marine,2017,13016,RUS,F,Salmonidae,NA,NA,salmonids
Spain,Atlantic salmon,"Atlantic, Northeast",Marine,2017,24.39,ESP,F,Salmonidae,NA,NA,salmonids
